Year,Age group,Median monthly employment earnings of employed persons-Male (1) (2),Median monthly employment earnings of employed persons-Female (1) (2),Median monthly employment earnings of employed persons- Both Sexes (1) (2)
1985,15 - 24,"2,000","2,000","2,000"
1985,25 - 34,"3,000","2,300","3,000"
1985,35 - 44,"3,500","1,800","3,000"
1985,45 - 54,"3,000","1,600","2,600"
1985,55 - 59,"2,500","1,500","2,200"
1985,60 and over,"2,000","1,200","1,800"
1985,15 and over,"3,000","2,000","2,500"
1986,15 - 24,"2,300","2,000","2,200"
1986,25 - 34,"3,500","2,500","3,000"
1986,35 - 44,"4,000","2,000","3,500"
1986,45 - 54,"3,300","1,800","3,000"
1986,55 - 59,"3,000","1,600","2,500"
1986,60 and over,"2,200","1,500","2,000"
1986,15 and over,"3,000","2,000","2,800"
1987,15 - 24,"2,500","2,300","2,500"
1987,25 - 34,"4,000","2,900","3,500"
1987,35 - 44,"4,200","2,300","3,900"
1987,45 - 54,"3,800","2,000","3,200"
1987,55 - 59,"3,000","1,800","2,900"
1987,60 and over,"2,500","1,600","2,200"
1987,15 and over,"3,500","2,400","3,000"
1988,15 - 24,"3,000","2,700","2,900"
1988,25 - 34,"4,500","3,200","4,000"
1988,35 - 44,"5,000","2,700","4,200"
1988,45 - 54,"4,200","2,400","3,800"
1988,55 - 59,"3,500","2,000","3,100"
1988,60 and over,"3,000","1,800","2,500"
1988,15 and over,"4,000","2,800","3,500"
1989,15 - 24,"3,500","3,500","3,500"
1989,25 - 34,"5,000","4,000","5,000"
1989,35 - 44,"6,000","3,300","5,000"
1989,45 - 54,"5,000","3,000","4,500"
1989,55 - 59,"4,300","2,500","4,000"
1989,60 and over,"3,500","2,000","3,000"
1989,15 and over,"5,000","3,500","4,500"
1990,15 - 24,"4,100","4,000","4,000"
1990,25 - 34,"6,000","4,800","5,500"
1990,35 - 44,"6,500","3,900","6,000"
1990,45 - 54,"5,700","3,400","5,000"
1990,55 - 59,"5,000","3,000","4,500"
1990,60 and over,"4,000","2,500","3,500"
1990,15 and over,"5,500","4,000","5,000"
1991,15 - 24,"5,000","4,500","4,900"
1991,25 - 34,"7,000","5,500","6,000"
1991,35 - 44,"7,300","4,500","6,500"
1991,45 - 54,"6,500","4,000","5,800"
1991,55 - 59,"5,500","3,200","5,000"
1991,60 and over,"4,300","2,800","4,000"
1991,15 and over,"6,000","4,500","6,000"
1992,15 - 24,"5,500","5,200","5,500"
1992,25 - 34,"7,500","6,000","7,000"
1992,35 - 44,"8,000","5,000","7,300"
1992,45 - 54,"7,000","4,500","6,500"
1992,55 - 59,"6,000","4,000","5,500"
1992,60 and over,"5,000","3,000","4,500"
1992,15 and over,"7,000","5,300","6,500"
1993,15 - 24,"6,000","6,000","6,000"
1993,25 - 34,"8,500","7,000","8,000"
1993,35 - 44,"9,000","6,000","8,000"
1993,45 - 54,"8,000","5,000","7,500"
1993,55 - 59,"7,000","4,500","6,300"
1993,60 and over,"5,500","3,500","5,000"
1993,15 and over,"8,000","6,000","7,500"
1994,15 - 24,"7,000","6,500","6,800"
1994,25 - 34,"9,500","8,000","9,000"
1994,35 - 44,"10,000","6,500","9,000"
1994,45 - 54,"9,000","5,500","8,000"
1994,55 - 59,"7,500","5,000","7,000"
1994,60 and over,"6,000","3,800","5,100"
1994,15 and over,"9,000","7,000","8,000"
1995,15 - 24,"7,200","7,000","7,000"
1995,25 - 34,"10,000","8,500","10,000"
1995,35 - 44,"11,000","7,000","10,000"
1995,45 - 54,"10,000","6,000","9,000"
1995,55 - 59,"8,000","5,000","7,500"
1995,60 and over,"6,300","4,000","6,000"
1995,15 and over,"10,000","7,500","9,000"
1996,15 - 24,"8,000","7,500","8,000"
1996,25 - 34,"11,000","9,800","10,000"
1996,35 - 44,"12,000","8,000","10,000"
1996,45 - 54,"10,000","6,000","9,500"
1996,55 - 59,"9,000","5,200","8,000"
1996,60 and over,"7,000","4,000","6,500"
1996,15 and over,"10,000","8,000","10,000"
1997,15 - 24,"8,000","8,000","8,000"
1997,25 - 34,"12,000","10,000","11,000"
1997,35 - 44,"13,000","8,500","12,000"
1997,45 - 54,"12,000","7,000","10,000"
1997,55 - 59,"9,500","6,000","9,000"
1997,60 and over,"8,000","5,000","7,000"
1997,15 and over,"11,000","8,500","10,000"
1998,15 - 24,"8,500","8,000","8,000"
1998,25 - 34,"12,000","10,000","11,800"
1998,35 - 44,"14,000","9,000","12,000"
1998,45 - 54,"12,000","7,000","10,000"
1998,55 - 59,"10,000","6,000","9,000"
1998,60 and over,"8,000","5,000","7,000"
1998,15 and over,"12,000","9,000","10,000"
1999,15 - 24,"8,000","7,500","8,000"
1999,25 - 34,"12,000","10,000","11,000"
1999,35 - 44,"14,000","9,000","12,000"
1999,45 - 54,"12,000","7,000","10,000"
1999,55 - 59,"10,000","6,000","9,000"
1999,60 and over,"7,200","4,600","7,000"
1999,15 and over,"12,000","8,500","10,000"
2000,15 - 24,"8,000","7,500","8,000"
2000,25 - 34,"12,000","10,000","11,000"
2000,35 - 44,"15,000","10,000","12,000"
2000,45 - 54,"12,000","7,000","10,000"
2000,55 - 59,"10,000","6,000","9,000"
2000,60 and over,"7,500","5,000","7,000"
2000,15 and over,"12,000","8,800","10,000"
2001,15 - 24,"8,000","7,000","7,500"
2001,25 - 34,"12,500","10,000","11,800"
2001,35 - 44,"15,000","10,000","12,000"
2001,45 - 54,"12,000","7,000","10,000"
2001,55 - 59,"10,000","6,000","9,000"
2001,60 and over,"7,600","5,000","7,000"
2001,15 and over,"12,000","8,800","10,000"
2002,15 - 24,"7,000","6,500","7,000"
2002,25 - 34,"12,000","10,000","11,000"
2002,35 - 44,"14,200","9,500","12,000"
2002,45 - 54,"12,000","6,600","10,000"
2002,55 - 59,"10,000","6,000","8,800"
2002,60 and over,"7,000","5,000","6,500"
2002,15 and over,"12,000","8,000","10,000"
2003,15 - 24,"7,000","6,000","6,500"
2003,25 - 34,"11,500","10,000","10,300"
2003,35 - 44,"14,000","9,000","12,000"
2003,45 - 54,"12,000","6,500","10,000"
2003,55 - 59,"10,000","6,000","8,500"
2003,60 and over,"7,000","4,500","6,500"
2003,15 and over,"11,000","8,000","10,000"
2004,15 - 24,"6,500","6,000","6,000"
2004,25 - 34,"11,000","9,500","10,000"
2004,35 - 44,"14,000","9,500","12,000"
2004,45 - 54,"12,000","6,500","10,000"
2004,55 - 59,"9,500","6,000","8,400"
2004,60 and over,"7,000","4,800","6,500"
